Flight No.,Date,Time,Version Booster,Launch Site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
"<td>4 June 2018,<br/>04:45<sup class=""reference"" id=""cite_ref-340""><a href=""#cite_note-340"">[330]</a></sup>
</td>",4 June 2018,04:45,F9 B4B1040.2,CCAFS,SES-12,"5,384 kg",GTO,SES,Success,No attempt
"<td>29 June 2018,<br/>09:42<sup class=""reference"" id=""cite_ref-345""><a href=""#cite_note-345"">[335]</a></sup>
</td>",29 June 2018,09:42,F9 B4B1045.2,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,No attempt
"<td>22 July 2018,<br/>05:50<sup class=""reference"" id=""cite_ref-350""><a href=""#cite_note-350"">[340]</a></sup>
</td>",22 July 2018,05:50,F9 B5,CCAFS,Telstar 19V,"7,075 kg",GTO,Telesat,Success,Success
"<td>25 July 2018,<br/>11:39<sup class=""reference"" id=""cite_ref-358""><a href=""#cite_note-358"">[348]</a></sup>
</td>",25 July 2018,11:39,F9 B5B1048,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,Success
"<td>7 August 2018,<br/>05:18<sup class=""reference"" id=""cite_ref-363""><a href=""#cite_note-363"">[353]</a></sup>
</td>",7 August 2018,05:18,F9 B5B1046.2,CCAFS,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,Success
"<td>10 September 2018,<br/>04:45<sup class=""reference"" id=""cite_ref-sfn-20180910_371-0""><a href=""#cite_note-sfn-20180910-371"">[361]</a></sup>
</td>",10 September 2018,04:45,F9 B5,CCAFS,Telstar 18V,"7,060 kg",GTO,Telesat,Success,Success
"<td>8 October 2018,<br/>02:22<sup class=""reference"" id=""cite_ref-nsf-20181008_373-0""><a href=""#cite_note-nsf-20181008-373"">[363]</a></sup>
</td>",8 October 2018,02:22,F9 B5B1048.2,VAFB,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,Success
"<td>15 November 2018,<br/>20:46<sup class=""reference"" id=""cite_ref-377""><a href=""#cite_note-377"">[367]</a></sup>
</td>",15 November 2018,20:46,F9 B5B1047.2,KSC,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,Success
"<td>3 December 2018,<br/>18:34:05
</td>",3 December 2018,18:34:05,F9 B5B1046.3,VAFB,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,Success
"<td>5 December 2018,<br/>18:16
</td>",5 December 2018,18:16,F9 B5,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",Failure
"<td>23 December 2018,<br/>13:51<sup class=""reference"" id=""cite_ref-spacenews20181223_396-0""><a href=""#cite_note-spacenews20181223-396"">[386]</a></sup>
</td>",23 December 2018,13:51,F9 B5,CCAFS,GPS III,"4,400 kg",MEO,USAF,Success,No attempt
"<td>11 January 2019,<br/>15:31<sup class=""reference"" id=""cite_ref-406""><a href=""#cite_note-406"">[396]</a></sup>
</td>",11 January 2019,15:31,F9 B5B1049.2,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",Success
"<td>22 February 2019,<br/>01:45<sup class=""reference"" id=""cite_ref-408""><a href=""#cite_note-408"">[398]</a></sup>
</td>",22 February 2019,01:45,F9 B5B1048.3,CCAFS,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
",Success
"<td>2 March 2019,<br/>07:49<sup class=""reference"" id=""cite_ref-:7_422-0""><a href=""#cite_note-:7-422"">[412]</a></sup>
</td>",2 March 2019,07:49,F9 B5[268],KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",Success
"<td>4 May 2019,<br/>06:48
</td>",4 May 2019,06:48,F9 B5,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",Success
"<td>24 May 2019,<br/>02:30
</td>",24 May 2019,02:30,F9 B5B1049.3,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
",Success
"<td>12 June 2019,<br/>14:17
</td>",12 June 2019,14:17,F9 B5B1051.2,VAFB,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
",Success
"<td>25 July 2019,<br/>22:01<sup class=""reference"" id=""cite_ref-auto5_476-0""><a href=""#cite_note-auto5-476"">[464]</a></sup>
</td>",25 July 2019,22:01,F9 B5B1056.2,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
",Success
"<td>6 August 2019,<br/>23:23<sup class=""reference"" id=""cite_ref-483""><a href=""#cite_note-483"">[471]</a></sup>
</td>",6 August 2019,23:23,F9 B5B1047.3,CCAFS,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
",No attempt
"<td>11 November 2019,<br/>14:56<sup class=""reference"" id=""cite_ref-491""><a href=""#cite_note-491"">[479]</a></sup>
</td>",11 November 2019,14:56,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>5 December 2019,<br/>17:29<sup class=""reference"" id=""cite_ref-493""><a href=""#cite_note-493"">[481]</a></sup>
</td>",5 December 2019,17:29,F9 B5,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",Success
"<td>17 December 2019,<br/>00:10<sup class=""reference"" id=""cite_ref-sjcs_498-0""><a href=""#cite_note-sjcs-498"">[486]</a></sup>
</td>",17 December 2019,00:10,F9 B5B1056.3,CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",Success
"<td>7 January 2020,<br/>02:19:21<sup class=""reference"" id=""cite_ref-504""><a href=""#cite_note-504"">[492]</a></sup>
</td>",7 January 2020,02:19:21,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>19 January 2020,<br/>15:30<sup class=""reference"" id=""cite_ref-506""><a href=""#cite_note-506"">[494]</a></sup>
</td>",19 January 2020,15:30,F9 B5,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
","No attempt
"
